recorded_at	capability	disposition	selected_dependency	version	exact_features	accepted_limitations
2026-08-11	interactive-terminal-runtime	approved-provisional	iocraft	0.8.4	default-features=false+[unstable-output-streams]	documented iocraft/Crossterm stream,cancellation,and cleanup caveats; preserve functional behavior and stdout/stderr routing
2026-08-11	terminal-styling-layout	approved-provisional	iocraft	0.8.4	default-features=false+[unstable-output-streams]	exact Lip Gloss SGR and colorprofile quirks accepted; prefer idiomatic iocraft layout and future flexibility
2026-08-11	terminal-output-profile	approved-provisional	iocraft	0.8.4	default-features=false+[unstable-output-streams]	documented output-profile,color-detection,and stream caveats accepted; preserve functional routing and tests
2026-08-12	lossless-docker-engine-progress-streaming	approved	reqwest;rustls;base64;futures-util;serde;serde_json;tokio	0.13.4;0.23.43;0.22.1;0.3.34;1.0.229;1.0.151;1.53.1	reqwest:default-features=false+[query,rustls-no-provider,stream];rustls:default-features=false+[ring,std,tls12];base64:default-features=false+[std];futures-util:default-features=false+[std];serde:default-features=true+[derive];serde_json:default-features=true+[];tokio:default-features=false+[io-util,macros,net,rt,sync,time]	exact researched narrow raw Engine seam only for image pull/push progress; Bollard retained elsewhere; separate bounded client/pool; recorded transport,platform,version,and lifecycle limitations accepted
2026-08-12	prometheus-created-timestamp-prototext-parity	approved-option-a	prometheus;protobuf	0.14.0;3.7.2	prometheus:default-features=false+[protobuf];protobuf:default-features=false+[]	reopen internal/metrics for true first-child creation timestamps and counter field 3; bounded canonical formatter in internal/machine/metrics; omit 29 go_* and 9 process_* families; deterministic Rust spacing replaces executable-hash-dependent protobuf-go spacing; wire parity limited to registered/shared families
2026-08-12	go-compatible-json-codec	approved	base64;serde;serde_json	0.22.1;1.0.229;1.0.151	base64:default-features=false+[std];serde:default-features=false+[derive,std];serde_json:default-features=false+[float_roundtrip,raw_value,std]	bounded package-owned adapters for reachable/product-observable DNS,Corrosion,internal/machine/store,and internal/machine/corromigrate behavior; exact stack scope extended to store and corromigrate under delegated routine authority; serde_json malformed-Unicode rejection and 128-level nesting limit accepted; no generic Go encoding/json runtime
2026-08-12	go-compatible-url-and-reference-resolution	approved	oxiri	0.3.1	default-features=false+[]	smallest package-owned compatibility seam required for observable DNS behavior; prefer idiomatic Rust and do not preserve unobservable Go URL machinery or quirks
2026-08-12	in-process-ssh-client	approved	russh;tokio	0.62.6;1.53.1	russh:default-features=false+[ring,rsa];tokio:default-features=false+[io-util,macros,net,rt,sync,time]	preserve insecure accept-all host-key parity; on-disk RSA enabled with explicitly accepted RUSTSEC-2023-0071 timing-advisory risk; on-disk DSA rejected as accepted temporary deviation; agent-held RSA and reviewed supervised-open/cancellation policy preserved
2026-08-12	routine-dependency-approval-policy	delegated	per-capability-explicit-record	n/a	exact-crates-versions-features-required-per-decision	supervisor may approve researched and adversarially reviewed popular maintained idiomatic Rust dependencies that pass observable-parity,maintenance,platform,license,and security gates; every approval remains explicit in this registry; user decision still required for material product behavior,serious unresolved security,licensing,paid/external service,or authority beyond routine implementation
2026-08-12	local-time-timestamp-formatting	approved	jiff	0.2.35	default-features=false+[tz-system,tzdb-zoneinfo]	use idiomatic system-zone conversion for CLI logs and UTC %Y%m%d.%H%M%S backup suffix formatting for internal/machine/corromigrate; documented invalid or dynamically changed TZ differences and unknown/UTC fallback accepted
2026-08-12	cli-option-definition-and-parsing	approved	clap	4.6.6	default-features=false+[derive,std,help,usage,error-context]	use idiomatic derived options; test reachable pflag behavior; literal comma splitting,explicit boolean,and repeated scalar differences must be handled only where frozen oracle tests or callers require them
2026-08-12	corrosion-toml-config-codec	approved	toml;serde	1.1.4+spec-1.1.0;1.0.229	toml:default-features=false+[display,parse,serde,std];serde:default-features=false+[derive,std]	semantic deterministic TOML parity through ordered Rust structs; no source-layout or comment preservation required
2026-08-12	ansi-aware-unicode-grapheme-display-width-truncation	approved	console;unicode-segmentation	0.16.4;1.13.3	console:default-features=false+[ansi-parsing,std,unicode-width];unicode-segmentation:default-features=false+[]	package glue may coordinate public ANSI slices,grapheme boundaries,and cell widths; no local ANSI parser or Unicode segmentation implementation
2026-08-12	systemd-start-timeout-notification	approved	libsystemd	0.7.2	linux-target-only;default-features=true	use daemon::notify(false) and exact Other EXTEND_TIMEOUT_USEC message; no-op adapter off Linux; broader unconditional dependency surface accepted because sd-notify 0.5.0 mishandles @ abstract socket notation
2026-08-12	structured-logging-facade	approved	tracing;tracing-subscriber	0.1.44;0.3.23	tracing:default-features=false+[std];tracing-subscriber:default-features=false+[fmt,registry,std]	exact approved structured event stack scope extended to internal/machine/corromigrate; preserve observable level,message,and fields while process logging remains executable-boundary owned
2026-08-12	best-effort-systemctl-service-control	approved	std::process::Command	rust-1.96	standard-library;no-external-crate	invoke systemctl stop then disable for uncloud-corrosion.service sequentially; swallow spawn and nonzero-exit failures after debug logging; systemctl may be absent on containerized or non-systemd hosts
2026-08-12	embedded-dns-server-client-runtime	approved	hickory-proto;tokio;tokio-util;fastrand;nix	0.26.1;1.53.1;0.7.19;2.5.0;0.31.3	hickory-proto:default-features=false+[std];tokio:default-features=false+[io-util,macros,net,rt,sync,time];tokio-util:default-features=false+[];fastrand:default-features=false+[std];nix:default-features=false+[net]	use Hickory protocol primitives with narrow package-owned Tokio UDP/TCP,forwarding,lifecycle,resolv.conf,and scoped-interface seams; preserve 512-byte UDP baseline,separate dial and I/O timeout windows,sequential forwarding,1024-forward cap,graceful drain,no DNSSEC/cache/encrypted DNS/per-client quota,and miekg IPv6-as-A zero fallback; native macOS runtime validation remains package acceptance evidence
2026-08-12	caddy-admin-http-over-unix-socket	approved	reqwest;async-compression;futures-util;rustls;serde;serde_json;tokio;tokio-util	0.13.4;0.4.43;0.3.34;0.23.43;1.0.229;1.0.151;1.53.1;0.7.19	reqwest:default-features=false+[stream];async-compression:default-features=false+[gzip,tokio];futures-util:default-features=false+[std];rustls:default-features=false+[ring,std];serde:default-features=false+[std];serde_json:default-features=false+[raw_value,std];tokio:default-features=false+[io-util,net,time];tokio-util:default-features=false+[io]	use a fixed-UDS HTTP/1.1 Reqwest client with provider-safe Rustls ring initialization,absolute five-second per-request deadlines,raw streaming multi-member gzip,Go-compatible bounded JSON envelope visitors,and typed package-owned policy; exact-union macOS compile/runtime and Linux arm64 runtime remain native acceptance; pending pathname connect was not reproducible; malformed Unicode/depth and dependency-native error wording may differ; response bodies remain unbounded like the oracle
