go_package	migration_crate	state	wave	owner	base_commit	crate_commit	blocker	direct_internal_dependencies	test_only_internal_dependencies	direct_callers
internal/cli	crates/ployz-internal-cli	waiting-internal	7	-	-	-	-	internal/cli/config,internal/cli/tui,internal/fs,internal/machine,internal/machine/api/pb,internal/machine/cluster,internal/machine/network,internal/sshexec,pkg/api,pkg/client,pkg/client/compose,pkg/client/connector,scripts	-	cmd/uc,cmd/uc/caddy,cmd/uc/context,cmd/uc/dns,cmd/uc/image,cmd/uc/machine,cmd/uc/service,cmd/uc/volume,cmd/uc/wg,cmd/ucind,internal/cli/completion
internal/cli/completion	crates/ployz-internal-cli-completion	waiting-internal	8	-	-	-	-	internal/cli,pkg/api,pkg/client/compose	-	cmd/uc,cmd/uc/caddy,cmd/uc/context,cmd/uc/image,cmd/uc/machine,cmd/uc/service,cmd/uc/volume,cmd/uc/wg
internal/cli/config	crates/ployz-internal-cli-config	integrated	1	integrator	-	565209151fc54d459bb6ff8de6f4c3793faedc7e	-	internal/secret	-	cmd/uc,cmd/uc/context,cmd/uc/machine,internal/cli,internal/ucind,pkg/client/connector
internal/cli/logs	crates/ployz-internal-cli-logs	waiting-internal	2	-	-	-	-	internal/cli/tui,pkg/api	-	cmd/uc,cmd/uc/caddy,cmd/uc/machine,cmd/uc/service
internal/cli/progress	crates/ployz-internal-cli-progress	waiting-internal	1	-	-	-	-	internal/cli/tui	-	pkg/client,pkg/client/deploy/operation
internal/cli/tui	crates/ployz-internal-cli-tui	reviewing	0	/root/implement_cli_tui	a4801c1f8af0a8aff3918c11f13bec02e789e939	65574d88fc4a173dce6bad2f2f3b4f08fe1fcb9a	-	-	-	cmd/uc,cmd/uc/caddy,cmd/uc/context,cmd/uc/image,cmd/uc/machine,cmd/uc/service,cmd/uc/volume,cmd/uc/wg,cmd/ucind/cluster,cmd/uncloudd,internal/cli,internal/cli/logs,internal/cli/progress,pkg/client,pkg/client/compose,pkg/client/deploy,pkg/client/deploy/operation
internal/corrosion	crates/ployz-internal-corrosion	dependency-blocked	0	native:019ff272-4b51-7483-bd88-31a648503338	02e99778862c741e37a9734fcf4b1003a1fe488c	fae64c97edac08285ace03d080951b583236537e	go-compatible-json-codec	-	-	internal/machine,internal/machine/cluster,internal/machine/corroservice,internal/machine/store
internal/daemon	crates/ployz-internal-daemon	waiting-internal	6	-	-	-	-	internal/machine	-	cmd/uncloudd
internal/dns	crates/ployz-internal-dns	dependency-blocked	0	native:019ff271-ea84-7472-bc18-541d0b2544cb	02e99778862c741e37a9734fcf4b1003a1fe488c	a3d7bdde8e37f5784aa279d1b003de858abe736b	go-compatible-json-codec,go-compatible-url-and-reference-resolution	-	-	internal/machine/cluster
internal/docker	crates/ployz-internal-docker	dependency-blocked	0	native:019ff272-06c2-7ff0-aa05-5a5aa70662d4	02e99778862c741e37a9734fcf4b1003a1fe488c	-	lossless-docker-engine-progress-streaming	-	-	internal/machine,internal/machine/docker,pkg/client
internal/fs	crates/ployz-internal-fs	integrated	0	integrator	-	a63b98b9e296169097ea7b313c6ffeef3925802a	-	-	-	cmd/uc,internal/cli,internal/machine,internal/machine/caddyconfig,internal/machine/corromigrate,internal/machine/corroservice,internal/sshexec
internal/gitutil	crates/ployz-internal-gitutil	integrated	0	integrator	-	6b6770c602819d2a3d49491d77759653af25e200	-	-	-	pkg/client/compose
internal/grpcversion	crates/ployz-internal-grpcversion	integrated	1	integrator	-	0d0a4126776f8e41d025be8d6449aa10851959a6	-	internal/version	-	internal/machine,pkg/client/connector
internal/journal	crates/ployz-internal-journal	waiting-internal	2	-	-	-	-	pkg/api	-	internal/machine
internal/log	crates/ployz-internal-log	integrated	0	integrator	a47272f	359dfeb239a0263f124f93d4d232913c285d292a	-	-	-	cmd/uc,cmd/uncloudd
internal/machine	crates/ployz-internal-machine	waiting-internal	5	-	-	-	-	internal/corrosion,internal/docker,internal/fs,internal/grpcversion,internal/journal,internal/machine/api/pb,internal/machine/api/proxy,internal/machine/caddyconfig,internal/machine/cluster,internal/machine/constants,internal/machine/corromigrate,internal/machine/corroservice,internal/machine/dns,internal/machine/docker,internal/machine/firewall,internal/machine/metrics,internal/machine/network,internal/machine/osinfo,internal/machine/store,internal/secret,internal/version,pkg/api	-	cmd/uc,cmd/uncloudd,internal/cli,internal/daemon,internal/ucind,pkg/client/connector
internal/machine/api/pb	crates/ployz-internal-machine-api-pb	reviewing	0	/root/implement_machine_api_pb	d3661c923de76b22d9d36d543b0eaeac0a1fec9c	99469a96e61d0165103489625588461803513107	-	-	-	cmd/uc/caddy,cmd/uc/dns,cmd/uc/machine,cmd/uc/volume,cmd/uc/wg,internal/cli,internal/machine,internal/machine/api/proxy,internal/machine/caddyconfig,internal/machine/cluster,internal/machine/corromigrate,internal/machine/docker,internal/machine/store,internal/ucind,pkg/api,pkg/client,pkg/client/deploy,pkg/client/deploy/scheduler
internal/machine/api/proxy	crates/ployz-internal-machine-api-proxy	waiting-internal	1	-	-	-	-	internal/machine/api/pb	-	internal/machine
internal/machine/caddyconfig	crates/ployz-internal-machine-caddyconfig	waiting-internal	3	-	-	-	-	internal/fs,internal/machine/api/pb,internal/machine/store,pkg/api	internal/machine/docker	internal/machine,pkg/client
internal/machine/cluster	crates/ployz-internal-machine-cluster	waiting-internal	3	-	-	-	-	internal/corrosion,internal/dns,internal/machine/api/pb,internal/machine/network,internal/machine/store,internal/secret	-	cmd/uc/machine,internal/cli,internal/machine,internal/ucind
internal/machine/constants	crates/ployz-internal-machine-constants	integrated	0	integrator	-	3bac0bc07c223722cfa304f946412e1a35c163ce	-	-	-	internal/machine,internal/machine/firewall,pkg/client,pkg/client/connector
internal/machine/corromigrate	crates/ployz-internal-machine-corromigrate	waiting-internal	3	-	-	-	-	internal/fs,internal/machine/api/pb,internal/machine/store	-	internal/machine
internal/machine/corroservice	crates/ployz-internal-machine-corroservice	waiting-internal	2	-	-	-	-	internal/corrosion,internal/fs,pkg/api	-	internal/machine,internal/machine/firewall
internal/machine/dns	crates/ployz-internal-machine-dns	waiting-internal	3	-	-	-	-	internal/machine/store,internal/metrics	pkg/api	internal/machine,internal/machine/docker
internal/machine/docker	crates/ployz-internal-machine-docker	waiting-internal	4	-	-	-	-	internal/docker,internal/machine/api/pb,internal/machine/dns,internal/machine/firewall,internal/machine/network,internal/machine/store,internal/secret,pkg/api	-	internal/machine,pkg/client,test/e2e
internal/machine/firewall	crates/ployz-internal-machine-firewall	waiting-internal	3	-	-	-	-	internal/machine/constants,internal/machine/corroservice,internal/machine/network	-	internal/machine,internal/machine/docker
internal/machine/metrics	crates/ployz-internal-machine-metrics	dependency-blocked	0	/root/implement_machine_metrics	a4801c1f8af0a8aff3918c11f13bec02e789e939	78394f9266b574595657b58a454825af28ab155f	prometheus-created-timestamp-prototext-parity	-	-	internal/machine
internal/machine/network	crates/ployz-internal-machine-network	integrated	1	integrator	-	565209151fc54d459bb6ff8de6f4c3793faedc7e	-	internal/secret	-	cmd/uc/machine,internal/cli,internal/machine,internal/machine/cluster,internal/machine/docker,internal/machine/firewall,pkg/client,pkg/client/connector
internal/machine/network/tunnel	crates/ployz-internal-machine-network-tunnel	integrated	1	integrator	-	6e7ce6560dc09611061982aa215bee4d1a3cc670	-	internal/secret	-	pkg/client/connector
internal/machine/osinfo	crates/ployz-internal-machine-osinfo	integrated	0	integrator	-	910fbea490e3960129a48a61da0d8bade8491014	-	-	-	internal/machine
internal/machine/store	crates/ployz-internal-machine-store	waiting-internal	2	-	-	-	-	internal/corrosion,internal/machine/api/pb,pkg/api	-	internal/machine,internal/machine/caddyconfig,internal/machine/cluster,internal/machine/corromigrate,internal/machine/dns,internal/machine/docker
internal/metrics	crates/ployz-internal-metrics	integrated	0	integrator	-	c759bea091302746e6ea7a21d9538afd8ec60a0f	-	-	-	cmd/uncloudd,internal/machine/dns
internal/proxy	crates/ployz-internal-proxy	integrated	0	integrator	-	eb21dc6e508b327ad0926c3c8c680c71001574c5	-	-	-	cmd/uc,pkg/client
internal/secret	crates/ployz-internal-secret	integrated	0	integrator	-	8c82b2034d27de899ddbea175b4633317809e248	-	-	-	cmd/uc/service,internal/cli/config,internal/machine,internal/machine/cluster,internal/machine/docker,internal/machine/network,internal/machine/network/tunnel,internal/ucind,pkg/client,pkg/client/deploy
internal/sshexec	crates/ployz-internal-sshexec	dependency-blocked	1	native:019ff431-9e69-7f21-b76a-04e4114c8e2e	41caa17e8da11cc1e51ed04c99d0208f51e170a8	-	in-process-ssh-client	internal/fs	-	internal/cli,pkg/client/connector
internal/ucind	crates/ployz-internal-ucind	waiting-internal	7	-	-	-	-	internal/cli/config,internal/machine,internal/machine/api/pb,internal/machine/cluster,internal/secret,pkg/client,pkg/client/connector	-	cmd/ucind,cmd/ucind/cluster,internal/ucind/completion
internal/ucind/completion	crates/ployz-internal-ucind-completion	waiting-internal	8	-	-	-	-	internal/ucind	-	cmd/ucind/cluster
internal/version	crates/ployz-internal-version	integrated	0	integrator	-	2a120dcd5b4bb7def3da0b7ee5fbd73fe0b30f9	-	-	-	cmd/uc,cmd/uncloudd,internal/grpcversion,internal/machine
pkg/api	crates/ployz-pkg-api	waiting-internal	1	-	-	-	-	internal/machine/api/pb	-	cmd/uc,cmd/uc/caddy,cmd/uc/dns,cmd/uc/image,cmd/uc/machine,cmd/uc/service,cmd/uc/volume,internal/cli,internal/cli/completion,internal/cli/logs,internal/journal,internal/machine,internal/machine/caddyconfig,internal/machine/corroservice,internal/machine/docker,internal/machine/store,pkg/client,pkg/client/compose,pkg/client/deploy,pkg/client/deploy/operation,pkg/client/deploy/scheduler,test/e2e
pkg/client	crates/ployz-pkg-client	waiting-internal	5	-	-	-	-	internal/cli/progress,internal/cli/tui,internal/docker,internal/machine/api/pb,internal/machine/caddyconfig,internal/machine/constants,internal/machine/docker,internal/machine/network,internal/proxy,internal/secret,pkg/api,pkg/client/deploy,pkg/client/deploy/scheduler	-	cmd/uc,cmd/uc/caddy,cmd/uc/dns,cmd/uc/image,cmd/uc/machine,cmd/uc/service,internal/cli,internal/ucind,pkg/client/connector,test/e2e
pkg/client/compose	crates/ployz-pkg-client-compose	waiting-internal	4	-	-	-	-	internal/cli/tui,internal/gitutil,pkg/api,pkg/client/deploy,pkg/client/deploy/operation,pkg/client/deploy/scheduler	-	cmd/uc,cmd/uc/service,internal/cli,internal/cli/completion
pkg/client/connector	crates/ployz-pkg-client-connector	waiting-internal	6	-	-	-	-	internal/cli/config,internal/grpcversion,internal/machine,internal/machine/constants,internal/machine/network,internal/machine/network/tunnel,internal/sshexec,pkg/client	-	internal/cli,internal/ucind
pkg/client/deploy	crates/ployz-pkg-client-deploy	waiting-internal	3	-	-	-	-	internal/cli/tui,internal/machine/api/pb,internal/secret,pkg/api,pkg/client/deploy/operation,pkg/client/deploy/scheduler	-	cmd/uc,cmd/uc/service,pkg/client,pkg/client/compose,test/e2e
pkg/client/deploy/operation	crates/ployz-pkg-client-deploy-operation	waiting-internal	2	-	-	-	-	internal/cli/progress,internal/cli/tui,pkg/api	-	cmd/uc,pkg/client/compose,pkg/client/deploy
pkg/client/deploy/scheduler	crates/ployz-pkg-client-deploy-scheduler	waiting-internal	2	-	-	-	-	internal/machine/api/pb,pkg/api	-	pkg/client,pkg/client/compose,pkg/client/deploy
scripts	crates/ployz-scripts	integrated	0	integrator	-	552d307e85c9f2c2ab913d04d3c49d46fc985bc1	-	-	-	internal/cli
test/e2e	crates/ployz-test-e2e	waiting-internal	6	-	-	-	-	internal/machine/docker,pkg/api,pkg/client,pkg/client/deploy	internal/cli,internal/machine/api/pb,internal/machine/metrics,internal/machine/network,internal/secret,internal/ucind,pkg/client/compose	-
