task_id	host_id	cursor	role	package	crate_path	worktree	branch	state	base_commit	artifact_commit
019ff445-e236-7fb2-b22e-1bc43681ba4b	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/machine/api/proxy	crates/ployz-internal-machine-api-proxy	/home/codex/.codex/worktrees/e09a5347-39f7-4615-af38-1af33712005e/ployz-rust-port	detached	integrated	b42fb4c0ab4ac7212c9eba663c70eb839bdd52ee	6c7d767816501ae644098383c8eca7a4331d7de9
019ff446-39dd-7ef0-aed2-0b95c8c39d9a	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	pkg/api	crates/ployz-pkg-api	/home/codex/.codex/worktrees/eaa69da8-35ea-4a3f-b13d-3a71492630ba/ployz-rust-port	detached	integrated	b42fb4c0ab4ac7212c9eba663c70eb839bdd52ee	22b8d840813d486904f05457b10c2075b1b6a5a7
019ff448-2f26-7bf0-a71e-6f945f660c03	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	dependency	go-compatible-json-codec	migration/dependencies/go-compatible-json-codec.md	/home/codex/.codex/worktrees/ff001814-cdd4-4eb1-a9b9-821fd496859b/ployz-rust-port	detached	archived-decision-approved	16bc253	4d3c4ba
019ff448-77b2-76f0-932a-e6caa17e8185	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	dependency	go-compatible-url-and-reference-resolution	migration/dependencies/go-compatible-url-and-reference-resolution.md	/home/codex/.codex/worktrees/3e8cce1e-a3d5-4404-b8d8-d7cb792852f0/ployz-rust-port	detached	archived-decision-approved	16bc253	7044099
019ff4d6-d5f4-7083-9745-f8acf0835b5a	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/cli/progress	crates/ployz-internal-cli-progress	/home/codex/.codex/worktrees/574b0ffb-81f0-4bfe-b94d-44ce10bfd6e4/ployz-rust-port	detached	integrated	9bec93972aad41e83512df9b9f7f19c5fef18be0	aa6f285e2453d63e9a6fb65581319c574ac2fa40
019ff4d7-265d-7b60-8d7a-b47871c44d7b	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/machine/metrics	crates/ployz-internal-machine-metrics	/home/codex/.codex/worktrees/d9f16cdd-23a2-40ec-b1df-3dbc8b9189e1/ployz-rust-port	detached	implementing	9bec93972aad41e83512df9b9f7f19c5fef18be0	-
019ff51a-d9f6-7f72-8721-2f6360eb61a7	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/corrosion	crates/ployz-internal-corrosion	/home/codex/.codex/worktrees/2e471c42-798b-446b-9bd8-a582c4491df5/ployz-rust-port	detached	implementing	399efeeb7f2f1552c45e825a84b3d929b9840e22	-
019ff51d-505a-7300-99f6-c8e3cd7f493a	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/dns	crates/ployz-internal-dns	/home/codex/.codex/worktrees/f0c8634e-b0a1-4438-a934-879bf5d0b54f/ployz-rust-port	detached	integrated	7edb7f3847052a088a6d2bb5e1582e78ca63137d	3194a548455ed618e3b554e796816fc644c99adc
019ff51e-2e07-7c42-8bfa-ca10a96369fb	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/sshexec	crates/ployz-internal-sshexec	/home/codex/.codex/worktrees/af8655f3-fc14-417e-9b5e-845526058ee1/ployz-rust-port	detached	implementing	99c2f9882166ba92a27938a143dbf040a2e00bf3	-
019ff51e-dc81-7841-b6e3-26787b31ea04	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	internal/cli/logs	crates/ployz-internal-cli-logs	/home/codex/.codex/worktrees/e1d2c19e-5dbd-44ee-b794-77830ee06e44/ployz-rust-port	detached	dependency-blocked	45badd64377577a68feba71b9da558f3181a9459	-
019ff52a-c39b-7280-b679-01b21ddbadfa	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	pkg/client/deploy/operation	crates/ployz-pkg-client-deploy-operation	/home/codex/.codex/worktrees/f997cf45-55e8-4738-8e46-1af710821522/ployz-rust-port	detached	implementing	54e656e72926e0a30c00f9fc3618f6807391fd2e	-
019ff52b-892d-70e1-8b69-7310fea83c75	slingshot:env_e_6a431d61e6a8832aa1b7af9aa5fe4727	-	implement	pkg/client/deploy/scheduler	crates/ployz-pkg-client-deploy-scheduler	/home/codex/.codex/worktrees/92e46c96-df19-49c5-8b3a-38750ce2e105/ployz-rust-port	detached	implementing	c3bdec2decc49e338bad6a82416d6e57ebf6cb7e	-
